QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:42 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
             83    7647.663879   -3.591285164    7808.091163   -121.9638314    7859.893194    118.5859308              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             84    7647.663879   -3.591285164    7808.091163   -121.9638314    7859.893194    118.5859308    2.531237514    23.07391618    1.617530103    23.07390412   0.7401968151    23.07395613       18554.07           7904       11856.56        5050.87        5425.67        2311.33              0              0              0              0              0              0              
             85    7647.355057   -3.593676092      7808.2689   -121.9641977    7859.859983    118.5869193              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             86    7647.244681   -3.594072482    7807.916896   -121.9650145    7859.761406    118.5850301              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             87    7647.244681   -3.594072482    7807.916896   -121.9650145    7859.761406    118.5850301    2.213782218    23.07391833   0.9396444781    23.07393149   0.7153153208    23.07389784       16227.11        6912.72        6887.63        2934.12        5243.29        2233.63              0              0              0              0              0              0              
             88    7647.244681   -3.594072482    7807.916896   -121.9650145    7859.761406    118.5850301              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             89    7644.742531   -3.614407524    7810.540037   -121.9668187    7859.607533    118.5992272              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             90    7644.742531   -3.614407524    7810.540037   -121.9668187    7859.607533    118.5992272              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             91    7638.089104   -3.666116417    7814.934197   -121.9758416    7858.781089    118.6238027              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             92    7630.806726     -3.7497569    7821.250671   -121.9798037    7856.782184    118.6557994              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             93    7622.924754    -3.76718086    7796.345242   -122.0494435    7850.915244    118.5200283              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             94    7622.924754    -3.76718086    7796.345242   -122.0494435    7850.915244    118.5200283    2.258106831    23.07392764    1.257132406    23.07391206   0.6126326739    23.07396008       16552.01        7051.13        9214.83         3925.5        4490.62           1913              0              0              0              0              0              0              
             95    7617.664155   -3.807676077    7793.850377   -122.0691118    7849.000925    118.5048273              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             96    7617.664155   -3.807676077    7793.850377   -122.0691118    7849.000925    118.5048273              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             97    7616.976159   -3.813064958    7794.608843   -122.0706664    7848.825921    118.5100118              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             98    7616.726542   -3.813885276    7793.107115    -122.074148    7848.310464    118.5001156              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             99    7616.726542   -3.813885276    7793.107115    -122.074148    7848.310464    118.5001156    1.860583667     23.0739267    1.073285945    23.07388141   0.8554157953    23.07394286       13638.15        5809.83        7867.23        3351.42        6270.23        2671.11              0              0              0              0              0              0              
